,importance
mobility_other,0.15500999443261335
mobility_stm,0.1479095210095287
halfmove_clock,0.08212065136564906
fullmove_number,0.07943640500137869
b_center_control,0.04603075493916114
wk_pawn_shield,0.04354484347663765
bk_pawn_shield,0.04239454656585122
w_center_control,0.04023900539377612
b_most_advanced_pawn,0.03507873570041161
w_most_advanced_pawn,0.03133935579725326
total_material,0.031113298244797236
white_to_move,0.02542558240413254
wk_file,0.023908599027324794
wk_center_dist,0.017611823127088106
bk_file,0.016583501999107346
b_p,0.015308578412309926
w_p,0.015179754557802462
bk_center_dist,0.014600480089319927
material_balance,0.01372364825031074
w_isolated_pawns,0.011494758470893353
diff_p,0.01073164682681975
b_isolated_pawns,0.009342364031686224
w_n,0.008499078055252044
b_n,0.00812837042076017
diff_n,0.007778165359167112
diff_b,0.00710137002188166
b_doubled_pawns,0.006930744645118466
w_doubled_pawns,0.006754005792708287
b_b,0.0054827542424111106
w_rooks_open_file,0.005309736041815172
bishop_pair_b,0.004838661591483825
bishop_pair_w,0.0046505602045857596
w_b,0.004555875464119944
w_attackers_near_bk,0.002980777879198487
b_rooks_open_file,0.002974682637708332
b_passed_pawns,0.002099350217977739
king_distance,0.002095912168589542
b_attackers_near_wk,0.0018352435417983814
bk_rank,0.0017075858816662296
w_q,0.001601037430931192
b_q,0.0015764735526556512
w_r,0.0013515009819727477
b_r,0.0012274418573471955
w_passed_pawns,0.0007946669183025165
in_check,0.0007747638625746023
wk_rank,0.000711909598807263
diff_q,5.7745422668647745e-05
diff_r,4.732571588585066e-05
w_rooks_7th,6.411368758894318e-06
b_rooks_2nd,0.0
