gene,r,p
BAP1,-0.2345,4.158715174475102e-08
EZH1,-0.1404,0.0011425671914200646
SMARCA4,-0.1096,0.011269779778056368
SMARCB1,-0.092,0.03354016357255945
VHL,-0.0354,0.41485199135548123
SUZ12,-0.0289,0.5055374765646818
SETD2,-0.0188,0.6646942703242611
CREBBP,0.0359,0.40747055144762734
PBRM1,0.0379,0.3817000464105469
EP300,0.0412,0.3417403726384689
KDM1A,0.047,0.27863303433478015
KDM5C,0.0678,0.11763507668080708
BCOR,0.0713,0.09978914052709052
KDM6A,0.0861,0.04669135185681216
EED,0.124,0.004099262794697556
RCOR1,0.1496,0.0005243251861560943
HDAC2,0.158,0.0002459676484536537
ARID1A,0.1614,0.00017955632667002557
JARID2,0.1754,4.6167783406749825e-05
TET2,0.1756,4.523781421030063e-05
DNMT3A,0.2517,3.6651363543868557e-09
ASXL1,0.2839,2.3589178969051306e-11
EZH2,0.3042,6.792798849647022e-13
HDAC1,0.3758,2.321630001062978e-19
