,importance
mobility_other,0.15333480275941744
mobility_stm,0.14947377456553398
halfmove_clock,0.09213203437622335
fullmove_number,0.07658351363998277
b_center_control,0.045307805458766635
w_center_control,0.043116862522062455
bk_pawn_shield,0.040440553368244675
wk_pawn_shield,0.04008136365459603
b_most_advanced_pawn,0.03618679279704118
total_material,0.030828204168544714
w_most_advanced_pawn,0.029388829762544096
white_to_move,0.028953262954185988
wk_file,0.021793660109766886
bk_file,0.01925372640915717
wk_center_dist,0.018455234307293667
bk_center_dist,0.016752698797323346
b_p,0.01660731682078099
w_p,0.016133116527939882
material_balance,0.011355917984780611
b_isolated_pawns,0.010442835118986419
w_isolated_pawns,0.00997699970144605
w_n,0.008742065613935817
b_n,0.008333512584963076
diff_p,0.007567388827916358
diff_n,0.007158503934204416
b_doubled_pawns,0.006967171860126935
diff_b,0.006916090180604416
w_doubled_pawns,0.006171764663595768
b_b,0.0051783798436493686
bishop_pair_b,0.0048440851079483375
w_rooks_open_file,0.004658027300832798
w_b,0.00461409225663762
bishop_pair_w,0.004510338776119577
king_distance,0.002247269464719133
b_rooks_open_file,0.0021379212304007424
b_passed_pawns,0.0020297454589385073
w_passed_pawns,0.0016709820187813603
b_attackers_near_wk,0.0016479268885964413
w_attackers_near_bk,0.0014744542168705908
w_q,0.0014410381345425108
b_q,0.001398971264941032
bk_rank,0.0012795809129848852
wk_rank,0.0012686516100538108
in_check,0.0006218270119242525
diff_r,0.0002575119409703991
b_r,0.0002112317184426111
diff_q,5.2161372680872203e-05
w_r,0.0
w_rooks_7th,0.0
b_rooks_2nd,0.0
