sample,label,cluster,PC1,PC2,depth
TCGA-KI-0001-X01-01A-01-01,chRCC,2,79.57668188384852,-1.7447575178299768,0.9286969010403696
TCGA-KI-0002-X02-01A-01-01,chRCC,2,78.22812375160639,-1.3580123641228368,0.9188852781965052
TCGA-KI-0003-X03-01A-01-01,chRCC,3,84.06136319831303,3.233368183719127,0.9613258256528324
TCGA-KI-0004-X04-01A-01-01,chRCC,2,79.13456825049546,-2.026031630571758,0.9254802416165904
TCGA-KI-0005-X05-01A-01-01,chRCC,3,85.66013378448248,2.0521286727137205,0.9729579041152404
TCGA-KI-0006-X06-01A-01-01,chRCC,3,88.61224540492468,4.046475555324484,0.9944364040925536
TCGA-KI-0007-X07-01A-01-01,chRCC,2,80.74513551727468,0.1517112424561001,0.9371981484746642
TCGA-KI-0008-X08-01A-01-01,chRCC,3,85.97844777247245,1.5926788970543584,0.9752738419464788
TCGA-KI-0009-X09-01A-01-01,chRCC,2,77.26039403930513,-2.8486616930522177,0.91184442565564
TCGA-KI-0010-X10-01A-01-01,chRCC,2,79.66921635993845,-2.0942184604556107,0.9293701485317026
TCGA-KI-0011-X11-01A-01-01,chRCC,2,78.97786095115767,-1.2942622194809503,0.9243400957962344
TCGA-KI-0012-X12-01A-01-01,chRCC,2,73.26424326007407,-2.051030836555035,0.8827698731127389
TCGA-KI-0013-X13-01A-01-01,chRCC,2,71.65292961264183,-4.249281001547379,0.8710465358580879
TCGA-KI-0014-X14-01A-01-01,chRCC,2,76.89533080233154,-1.1976106507822502,0.9091883571408996
TCGA-KI-0015-X15-01A-01-01,chRCC,2,74.09561509214974,-3.2060510650992984,0.8888186348711787
TCGA-KI-0001-X01-11G-01-01,normal,0,-45.35172982029293,23.001752014489117,0.0197628114982983
TCGA-KI-0001-X01-11I-01-01,normal,0,-46.76885198490452,0.1515906968211335,0.0094523414707791
TCGA-KI-0001-X01-11H-01-01,normal,1,-42.50724270205264,-27.65747652359824,0.040458274393919
TCGA-KI-0002-X02-11H-01-01,normal,1,-41.28946587676346,-30.12188944066137,0.0493183795922545
TCGA-KI-0002-X02-11G-01-01,normal,0,-46.63268150703786,17.698771327682973,0.0104430687811956
TCGA-KI-0003-X03-11G-01-01,normal,0,-48.068028702354475,20.221034746098525,0.0
TCGA-KI-0004-X04-11G-01-01,normal,0,-47.09909122326388,24.24693700616654,0.0070496398166502
TCGA-KI-0005-X05-11G-01-01,normal,0,-46.2248323529853,23.319944816036692,0.0134104322051954
TCGA-KI-0006-X06-11G-01-01,normal,0,-47.5504612217509,21.89800760883772,0.0037656344168777
TCGA-KI-0003-X03-11H-01-01,normal,0,-47.348008767214154,5.858862489286667,0.0052386054963125
TCGA-KI-0004-X04-11H-01-01,normal,1,-41.29763439325371,-28.112004587236004,0.0492589484108467
TCGA-KI-0005-X05-11H-01-01,normal,1,-40.690158456494515,-31.39664707299634,0.0536787243446396
TCGA-KI-0007-X07-11G-01-01,normal,0,-46.806064871367,19.025675821566377,0.0091815939233268
TCGA-KI-0008-X08-11G-01-01,normal,0,-46.73706929311896,22.347287058983017,0.0096835808792311
TCGA-KI-0009-X09-11G-01-01,normal,0,-45.545115908352,24.079790101591083,0.0183558040331242
TCGA-KI-0006-X06-11H-01-01,normal,1,-43.18023939514855,-28.5547257410065,0.0355617930558498
TCGA-KI-0010-X10-11G-01-01,normal,1,-45.240078871648414,25.197667951500343,0.0205751435528596
TCGA-KI-0011-X11-11G-01-01,normal,0,-45.62536165059606,12.721066143163611,0.0177719649394281
TCGA-KI-0007-X07-11H-01-01,normal,1,-41.868608977088215,-23.96384295751089,0.0451047431629777
TCGA-KI-0008-X08-11H-01-01,normal,1,-37.70544109911451,-33.04531390703747,0.0753944519102424
TCGA-KI-0009-X09-11H-01-01,normal,1,-37.154723312098554,-31.630694401738428,0.0794012760066012
TCGA-KI-0012-X12-11G-01-01,normal,0,-47.24753765128771,20.401993365597267,0.0059695971181074
TCGA-KI-0010-X10-11H-01-01,normal,1,-43.761622528587466,-25.25115240595646,0.0313318589531184
TCGA-KI-0011-X11-11H-01-01,normal,1,-41.29656206813515,-34.77495703791756,0.0492667502618591
TCGA-KI-0002-X02-11I-01-01,normal,0,-47.17933852801004,19.53428426377857,0.0064657893547522
TCGA-KI-0012-X12-11H-01-01,normal,1,-44.94052719591416,-14.067199747421023,0.0227545735635374
TCGA-KI-0013-X13-11H-01-01,normal,1,-42.074481804850286,-31.57330183221794,0.0436068866809268
TCGA-KI-0013-X13-11G-01-01,normal,0,-46.39058589299189,20.59607124432802,0.0122044691987093
TCGA-KI-0014-X14-11G-01-01,normal,0,-45.95383651993145,21.63284070666107,0.0153821001983004
TCGA-KI-0015-X15-11G-01-01,normal,0,-47.76140678509923,19.297202115899847,0.0022308705393138
TCGA-KI-0014-X14-11H-01-01,normal,1,-43.52419580462296,-23.781369276448675,0.0330592902094343
TCGA-KI-0015-X15-11H-01-01,normal,1,-44.25858852615338,-16.903063989277666,0.0277161135004291
TCGA-KI-0016-X16-11G-01-01,normal,0,-45.9971210826714,23.852193811919317,0.0150671773229625
TCGA-KI-0003-X03-11I-01-01,normal,0,-46.55341317538992,4.640268782078245,0.0110197965877298
TCGA-KI-0016-X16-11H-01-01,normal,1,-44.54063270206055,-9.818172195014004,0.0256640617474144
TCGA-KI-0017-X17-11H-01-01,normal,0,-45.71942562298064,-10.575495957857084,0.0170875893844057
TCGA-KI-0017-X17-11G-01-01,normal,0,-46.77271543191737,23.12415540469739,0.0094242324230036
TCGA-KI-0004-X04-11I-01-01,normal,0,-47.69257466653452,12.071785071031892,0.0027316682214858
TCGA-KI-0018-X18-11H-01-01,normal,1,-43.17740010479622,-23.954765995281704,0.03558245070895
TCGA-KI-0019-X19-11H-01-01,normal,1,-42.40476828994295,-31.088638560010168,0.0412038412765979
TCGA-KI-0018-X18-11G-01-01,normal,0,-47.537537564321156,19.273385940246968,0.0038596622896348
TCGA-KI-0020-X20-11H-01-01,normal,0,-46.17510032524761,-9.59189012427481,0.0137722645116838
TCGA-KI-0019-X19-11G-01-01,normal,0,-46.63721936884643,23.68931507099816,0.0104100529344784
TCGA-KI-0021-X21-11H-01-01,normal,1,-41.525211435465415,-29.64694024370719,0.0476031798883648
TCGA-KI-0022-X22-11H-01-01,normal,1,-43.53193603071152,-29.84480394955849,0.0330029751145997
TCGA-KI-0020-X20-11G-01-01,normal,0,-47.20779657061351,19.994046142671525,0.0062587388952843
TCGA-KI-0021-X21-11G-01-01,normal,0,-46.539933532873725,22.38913008834447,0.0111178696075552
TCGA-KI-0005-X05-11I-01-01,normal,0,-47.88723540428738,0.2945000888559201,0.0013153868646236
TCGA-KI-0023-X23-11H-01-01,normal,1,-45.14314041670041,-13.912271992545817,0.0212804328068241
TCGA-KI-0006-X06-11I-01-01,normal,0,-46.915078506029026,5.02015689295481,0.0083884500146069
TCGA-KI-0022-X22-11G-01-01,normal,0,-46.01013647440742,24.435842764201993,0.0149724820244613
TCGA-KI-0023-X23-11G-01-01,normal,0,-46.7686391942573,20.704775578519413,0.0094538896588219
TCGA-KI-0024-X24-11H-01-01,normal,1,-44.05857053869922,-19.087662828849908,0.0291713722749442
TCGA-KI-0001-X01-02A-01-01,oncocytoma,2,69.60941954158444,0.3845439487348987,0.8561786932226964
TCGA-KI-0002-X02-02A-01-01,oncocytoma,2,70.10342584929299,-2.577235347321363,0.8597729050388881
TCGA-KI-0003-X03-02A-01-01,oncocytoma,3,84.14436263224145,1.9384692456003407,0.9619296996145767
TCGA-KI-0004-X04-02A-01-01,oncocytoma,2,75.94930814851185,0.4216512260804493,0.9023054373326166
TCGA-KI-0005-X05-02A-01-01,oncocytoma,3,85.74469146879605,3.795164454707929,0.9735731153450712
TCGA-KI-0006-X06-02A-01-01,oncocytoma,2,74.25160621983909,-1.2855570941715229,0.8899535700847852
TCGA-KI-0007-X07-02A-01-01,oncocytoma,2,82.46944415742587,2.679891847267493,0.9497435965640628
TCGA-KI-0008-X08-02A-01-01,oncocytoma,3,86.89925756131022,3.912405722542721,0.9819733220378514
TCGA-KI-0009-X09-02A-01-01,oncocytoma,2,79.26151987192412,1.028956139834451,0.926403895850764
TCGA-KI-0010-X10-02A-01-01,oncocytoma,2,77.86297572196695,0.7221396573902872,0.916228592760894
TCGA-KI-0011-X11-02A-01-01,oncocytoma,2,69.14190480983778,3.0662774828897565,0.8527772245635573
TCGA-KI-0012-X12-02A-01-01,oncocytoma,2,79.24370168715112,2.7599820097751584,0.9262742571614296
TCGA-KI-0013-X13-02A-01-01,oncocytoma,3,89.37693363488326,6.3737997684445045,1.0
TCGA-KI-0014-X14-02A-01-01,oncocytoma,3,84.58252816333936,3.695245887114426,0.965117634069554
TCGA-KI-0015-X15-02A-01-01,oncocytoma,2,81.42179098211736,1.711765592455275,0.942121249717054
