,importance
mobility_other,0.1569071155856384
mobility_stm,0.14915347708690388
halfmove_clock,0.09404811228292123
fullmove_number,0.07664983167567442
b_center_control,0.04745646749044866
w_center_control,0.04315293970342177
bk_pawn_shield,0.0406952142560204
wk_pawn_shield,0.03892336832208905
b_most_advanced_pawn,0.033442225395855625
white_to_move,0.031172710380087534
total_material,0.030199042358637157
w_most_advanced_pawn,0.029763825985623465
wk_file,0.021014330514327113
bk_file,0.01935003672212326
wk_center_dist,0.017632699829510896
bk_center_dist,0.016188802840380403
w_p,0.015646516396105377
b_p,0.015497050337644187
material_balance,0.011643967487914877
b_isolated_pawns,0.009908489463650926
w_isolated_pawns,0.009681187926873544
w_n,0.00833087686166711
b_n,0.00793229808578184
diff_n,0.00735455268432435
diff_p,0.007098691972304229
diff_b,0.006855592744956166
b_doubled_pawns,0.006853813638103233
w_doubled_pawns,0.005838291735920778
b_b,0.005415091231680919
w_b,0.005062985886483749
bishop_pair_b,0.004736059884888144
w_rooks_open_file,0.004537457509158339
bishop_pair_w,0.004324271947310662
b_rooks_open_file,0.0028720150286234885
b_passed_pawns,0.0022113770830828406
bk_rank,0.0019263744974161636
king_distance,0.0017549035639083605
w_attackers_near_bk,0.0015589849746601586
b_attackers_near_wk,0.0014597572709070235
w_passed_pawns,0.0013774567254061267
w_q,0.0012742618064248896
b_q,0.001109129408360918
wk_rank,0.0009579335394821549
in_check,0.0005408992263621318
b_r,0.0002538630882097206
diff_r,0.0002114052641882733
diff_q,2.4242298536208767e-05
w_r,0.0
w_rooks_7th,0.0
b_rooks_2nd,0.0
