,r_prcc,r_kirc,shared
RUNX1,0.5903641159269566,,PRCC_ONLY
GOT1,-0.5193465487066394,,PRCC_ONLY
EZH2,0.30754752784010514,,PRCC_ONLY
KDM1A,0.44266514429941883,,PRCC_ONLY
TET2,0.2921370286008339,,
SLC22A6,-0.8006387575514288,,PRCC_ONLY
MIOX,-0.428849645779522,,PRCC_ONLY
OGDHL,-0.4018732728399567,,PRCC_ONLY
FH,-0.45125735814813783,,PRCC_ONLY
B2M,-0.22179647815873324,,
HAVCR2,-0.3960988704810479,,PRCC_ONLY
ARG1,0.07596843330500685,,
CDKN2A,0.035923307471588686,,
MKI67,-0.024100709976208272,,
SETD2,0.3074560613851429,,PRCC_ONLY
PBRM1,0.23957370368340591,,
VEGFA,-0.18376447037402993,,
VHL,0.0718833047186957,,
EPAS1,-0.08153651446631664,,
