,importance
mobility_other,0.1479328919526045
mobility_stm,0.1380539237593791
halfmove_clock,0.0930838858768722
fullmove_number,0.07519077795012531
b_center_control,0.04652611903105985
wk_pawn_shield,0.04446355403643279
w_center_control,0.04109853272413711
bk_pawn_shield,0.03810797401344331
b_most_advanced_pawn,0.03569884717310317
total_material,0.03302925935605118
white_to_move,0.031734185129352686
w_most_advanced_pawn,0.02502912470127006
wk_file,0.022499508488449504
wk_center_dist,0.019044289495134606
bk_file,0.016383175909259126
w_p,0.01595990939024517
b_p,0.015452818666205624
bk_center_dist,0.014689335189172014
material_balance,0.014056031263794079
b_isolated_pawns,0.011920294659819681
diff_p,0.00952179658753766
w_isolated_pawns,0.009124639575617696
b_n,0.00900013072786064
w_n,0.008768258309564868
b_doubled_pawns,0.008496605281107515
diff_n,0.008213113800031247
diff_b,0.007864491131108257
w_doubled_pawns,0.007556626826461155
w_rooks_open_file,0.006240053708103492
w_b,0.005940753064016116
b_b,0.005727153942176014
bishop_pair_b,0.005436599409099939
bishop_pair_w,0.00541679473445051
b_rooks_open_file,0.0037313868937069693
w_attackers_near_bk,0.0029847249811864244
w_passed_pawns,0.0027112624843358968
b_passed_pawns,0.0018520366054433986
bk_rank,0.001758056696599449
king_distance,0.0015432684632599868
b_q,0.0013730000067543806
b_attackers_near_wk,0.0013456211160338236
w_q,0.001280345382874927
wk_rank,0.0010443864584147244
b_rooks_2nd,0.0008442989992313797
w_rooks_7th,0.0005966641068127189
in_check,0.0005196675163558149
diff_q,0.0004314373654389873
diff_r,0.0003721059289614931
w_r,0.00023133895120940423
b_r,0.00011894218033394042
