gene,n_types,coverage,ccRCC,PRCC,chRCC,cdRCC
EZH2,4,4/4,0.5279,0.3075,0.0010,0.1991
DNMT3A,3,3/4,0.2517,0.1235,,0.0250
CCND1,3,3/4,0.2495,0.0278,,0.0336
SLC2A1,2,2/4,0.6722,0.1666,,
VIM,2,2/4,0.6850,0.0586,,
TGFB1,2,2/4,0.5179,0.2186,,
CA9,2,2/4,0.5595,0.1253,,
COL1A1,2,2/4,0.4171,0.1299,,
MYC,2,2/4,0.6225,,,0.2648
TOP2A,2,2/4,0.5445,0.0181,,
TWIST1,2,2/4,0.3045,0.2105,,
MKI67,2,2/4,0.2836,,,0.4169
SCD,2,2/4,0.7381,,,0.2331
FASN,2,2/4,0.1111,,,0.1148
MET,2,2/4,0.4342,0.4336,,
ACACA,2,2/4,0.0747,,,0.0806
KDM1A,2,2/4,0.0470,0.4427,,
PBRM1,2,2/4,0.0379,0.2396,,
HIF1A,2,2/4,0.0300,,,0.0125
KRT19,2,2/4,,0.8031,,0.2448
KRT7,2,2/4,,0.6432,,0.1437
HDAC1,2,2/4,,0.3298,,0.0068
CDKN1A,2,2/4,,0.2574,,0.0992
VHL,2,2/4,,0.0719,,0.0633
CDKN2A,2,2/4,,0.0359,,0.1191
FAP,1,1/4,0.4557,,,
LDHA,1,1/4,0.6764,,,
VEGFA,1,1/4,0.5559,,,
EGLN3,1,1/4,0.4285,,,
FN1,1,1/4,0.4019,,,
PDK1,1,1/4,0.6943,,,
SNAI1,1,1/4,0.3286,,,
FOXP3,1,1/4,0.3089,,,
CCNB1,1,1/4,0.2881,,,
FABP7,1,1/4,0.2833,,,
ACTA2,1,1/4,0.2609,,,
CDC20,1,1/4,0.2525,,,
CD68,1,1/4,0.5552,,,
SIX2,1,1/4,0.2422,,,
WNT5A,1,1/4,0.2354,,,
JAG1,1,1/4,0.2298,,,
WT1,1,1/4,0.2207,,,
ACLY,1,1/4,0.5409,,,
ZEB1,1,1/4,0.1965,,,
CD8A,1,1/4,0.1596,,,
EPAS1,1,1/4,0.1679,,,
ARNT,1,1/4,0.1344,,,
PDCD1,1,1/4,0.1293,,,
EGLN1,1,1/4,0.5312,,,
PTEN,1,1/4,0.0962,,,
