gene,r,p
TGFB1,0.5178720256482857,5.650643374815198e-38
LEF1,0.4050472106257892,1.680176983621544e-22
IL2RA,0.3571104905507745,1.661468626251421e-17
CD276,0.34371553439741664,2.971428441023391e-16
NCAM1,0.3317222017681538,3.501534675935801e-15
FCGR3A,0.3211425763020333,2.82483509221136e-14
FOXP3,0.30893713086395513,2.841740279335624e-13
ENTPD1,0.2965251535632391,2.6699822247396235e-12
CD80,0.2840990647936754,2.262467834852408e-11
FCGR1A,0.28402339106156893,2.2913724830650664e-11
MKI67,0.2836188578607569,2.4521108917477347e-11
LGALS9,0.28255184355731755,2.93073149127646e-11
TNFRSF18,0.26227838843767687,7.521509110311363e-10
CD163,0.26065201814291294,9.645689473479504e-10
CXCL13,0.25800663635343835,1.4403718929674923e-09
LAMP3,0.2569682852279448,1.683825235369619e-09
PDCD1LG2,0.2549318272201865,2.282691935383228e-09
CD68,0.24488646702283218,9.855043420394034e-09
CTLA4,0.23356177451667776,4.753319570554456e-08
CD4,0.22838423502011618,9.506350010071834e-08
IL10,0.22197475929527824,2.1921465892091182e-07
CD86,0.22114085798150962,2.4394295163548484e-07
TIGIT,0.21890985320263617,3.2403034066494197e-07
MSR1,0.21417202408471203,5.863305837989788e-07
CSF1R,0.19708681603884154,4.4584441297667374e-06
LAG3,0.1932967794858852,6.833269594094622e-06
GZMB,0.1868682508500304,1.3835302230082043e-05
S100A9,0.18605519188715025,1.5101025835363913e-05
CD2,0.18111039816318436,2.551016885263752e-05
IFNG,0.17794060295105849,3.5442802062233216e-05
IKZF2,0.17765716954615293,3.649039787897601e-05
TYROBP,0.17474656241005265,4.908591497197893e-05
CCR7,0.17211060908641462,6.394534256840469e-05
IL7R,0.1712370255754455,6.974309802663013e-05
CD3E,0.16836980836905518,9.245257348000875e-05
KLRK1,0.16808129214907358,9.508846185022231e-05
CD3G,0.16596810324188077,0.00011666485829114476
CD3D,0.1653493024618805,0.00012380669758069518
CD8A,0.15958672049708056,0.0002131354458330327
S100A8,0.15742471877872052,0.0002600929788162855
FASLG,0.1562427092391725,0.00028969265384333
CD79A,0.1522775947739593,0.00041357522604868895
CD19,0.14567698896630613,0.0007341216997400529
KLRB1,0.14204962967043944,0.0009963373144197937
MS4A1,0.13763311182122512,0.0014315223047032788
GZMK,0.13048636748256148,0.002517773773993908
PRF1,0.12942609770940056,0.002731529652821534
PDCD1,0.12932198348361637,0.002753386989412706
ITGAM,0.1264615886793179,0.0034198221936399555
GZMA,0.11619850738217366,0.0071884683788289135
TOX,0.11538124420202464,0.007608843741032443
NKG7,0.11465123224378196,0.008002778423681215
CPA3,0.10492781022949672,0.015277404037731314
KLRD1,0.09967959224513448,0.0212348675537486
IL1B,0.09815148941130344,0.023311409233858254
CD8B,0.09683725159548809,0.02523570698877914
NCR3,0.09222512340514058,0.033111610530525706
MRC1,0.09191630927341078,0.03370676588976016
ITGAX,0.08428205460017624,0.051591427408713864
TAPBP,0.08022538809423549,0.0639503101624533
MS4A2,0.07912257369547887,0.06770281334966755
XCR1,0.07492297330090919,0.08367894214416165
TNF,0.05357140598782262,0.21648149735642638
TAP1,0.05288619812047507,0.22242406345036445
CD79B,0.0509433213819115,0.23990461600620505
NCR1,0.04756394455261123,0.2725653510729557
TCF7,0.03723602187730398,0.3904796504789487
HLA-B,-0.028677600353318,0.5084342423876129
HLA-C,-0.05900640379195396,0.17334398440937873
HLA-A,-0.07648299546852505,0.07742130374170277
B2M,-0.09175907626784569,0.034013278713228394
CCL17,-0.09361184541151839,0.030548416307655403
CD274,-0.09623680386363694,0.026159555184017195
CLEC9A,-0.10630754744711746,0.013978588337935274
HAVCR2,-0.10950351110874743,0.011336734639413492
KIT,-0.13899233345072814,0.001281851630673367
CD1C,-0.1422926100376488,0.0009763752351516363
CEACAM1,-0.32173530502236247,2.5184119646044182e-14
